ZdAId,ZdCId
51774,66566
51773,66608
51768,66797
51392,66928
51450,66502
51431,66781
51427,473166
51424,66470
51474,66495
51420,66850
51419,66341
51418,66496
51422,66307
42799,66978
57614,67042
51402,66981
51400,66939
42398,66607
424799,424800
51986,63986
52051,64523
52023,63819
44106,63877
53343,64339
52008,424820
46851,63985
53362,64143
53360,64230
52040,64249
463488,463489
43766,63716
52021,63817
49140,63971
53341,64314
473315,64175
43021,63684
52019,64449
51989,64103
58659,73947
49165,64110
52055,64078
56726,63552
49162,64178
43665,63622
49095,64263
49156,64130
49159,63983
52039,64215
56727,63840
46859,64290
52786,63789
49110,64107
51741,63618
46864,64278
49091,64276
44948,64164
43486,64134
42860,64172
54762,64203
479015,70101
52078,72667
52530,69073
488140,71824
57777,63391
56618,64470
56627,64929
43076,60915
483280,483315
50665,72271
50704,72026
46160,72612
58400,72475
